89642;2010-08-14T11:00:00+02:00;98920;30;1.5;54;98330.0;;;-66.663167,140.001;-29.799999999999983;;;43;
89642;2010-08-10T17:00:00+02:00;97860;100;6.2;39;97290.0;;;-66.663167,140.001;-21.299999999999983;;;43;
89642;2010-08-13T02:00:00+02:00;96880;130;12.9;59;96310.0;;;-66.663167,140.001;-25.599999999999966;;;43;
89642;2010-10-12T23:00:00+02:00;97730;0;0.0;50;97160.0;;;-66.663167,140.001;-23.399999999999977;;;43;
89642;2010-08-20T11:00:00+02:00;99170;100;10.3;86;98610.0;;;-66.663167,140.001;-12.5;;;43;
89642;2010-11-06T01:00:00+01:00;99500;30;2.1;41;98950.0;;;-66.663167,140.001;-9.799999999999955;;;43;
89642;2010-11-10T16:00:00+01:00;98440;140;15.9;67;97900.0;;;-66.663167,140.001;-6.0;;;43;
89642;2010-11-15T16:00:00+01:00;96500;130;15.4;78;95970.0;;;-66.663167,140.001;-6.7999999999999545;;;43;
89642;2010-11-17T04:00:00+01:00;95380;130;24.7;92;94860.0;;;-66.663167,140.001;-5.599999999999966;;;43;
89642;2010-11-01T01:00:00+01:00;96740;130;8.7;86;96210.0;;;-66.663167,140.001;-5.699999999999989;;;43;
89642;2010-11-01T16:00:00+01:00;97160;160;9.8;60;96620.0;;;-66.663167,140.001;-11.899999999999977;;;43;
89642;2010-10-26T08:00:00+02:00;96720;140;17.5;63;96190.0;;;-66.663167,140.001;-7.099999999999966;;;43;
89642;2010-10-24T20:00:00+02:00;95260;140;12.3;92;94740.0;;;-66.663167,140.001;-5.099999999999966;;;43;
89642;2010-12-04T16:00:00+01:00;98510;140;7.7;43;97960.0;;;-66.663167,140.001;-9.399999999999977;;;43;
89642;2010-07-14T08:00:00+02:00;98820;200;2.6;68;98260.0;;;-66.663167,140.001;-16.399999999999977;;;43;
89642;2010-07-18T23:00:00+02:00;96040;140;13.4;84;95500.0;;;-66.663167,140.001;-12.699999999999989;;;43;
89642;2010-07-20T20:00:00+02:00;96770;120;4.6;78;96210.0;;;-66.663167,140.001;-19.399999999999977;;;43;
89642;2010-08-02T02:00:00+02:00;98500;130;13.9;80;97940.0;;;-66.663167,140.001;-15.399999999999977;;;43;
89642;2010-08-02T20:00:00+02:00;98480;140;14.9;81;97920.0;;;-66.663167,140.001;-16.19999999999999;;;43;
89642;2010-09-23T05:00:00+02:00;99100;140;15.4;76;98540.0;;;-66.663167,140.001;-13.799999999999955;;;43;
89642;2010-09-30T20:00:00+02:00;97960;0;0.0;36;97390.0;;;-66.663167,140.001;-22.099999999999966;;;43;
89642;2010-06-30T20:00:00+02:00;97870;110;5.1;39;97310.0;;;-66.663167,140.001;-19.49999999999997;;;43;
89642;2010-08-29T17:00:00+02:00;100120;170;4.1;40;99550.0;;;-66.663167,140.001;-16.399999999999977;;;43;
89642;2010-08-30T23:00:00+02:00;98420;110;9.3;84;97870.0;;;-66.663167,140.001;-10.199999999999989;;;43;
89642;2010-09-02T02:00:00+02:00;98250;100;7.7;57;97700.0;;;-66.663167,140.001;-12.299999999999955;;;43;
89642;2010-09-05T05:00:00+02:00;100070;70;4.6;58;99480.0;;;-66.663167,140.001;-23.899999999999977;;;43;
89642;2010-09-05T14:00:00+02:00;99430;130;1.5;59;98840.0;;;-66.663167,140.001;-25.599999999999966;;;43;
89642;2010-09-07T11:00:00+02:00;97300;200;1.0;43;96730.0;;;-66.663167,140.001;-24.69999999999999;;;43;
89642;2010-09-16T17:00:00+02:00;99340;60;7.7;76;98770.0;;;-66.663167,140.001;-19.299999999999983;;;43;
89642;2010-09-18T20:00:00+02:00;98600;260;1.5;56;98020.0;;;-66.663167,140.001;-24.299999999999983;;;43;
89642;2010-10-17T23:00:00+02:00;97970;110;7.7;45;97420.0;;;-66.663167,140.001;-11.099999999999966;;;43;
89642;2010-10-14T17:00:00+02:00;97890;150;21.1;81;97330.0;;;-66.663167,140.001;-16.299999999999955;;;43;
89642;2010-10-07T14:00:00+02:00;98970;140;17.0;86;98420.0;;;-66.663167,140.001;-10.899999999999977;;;43;
89642;2010-10-10T17:00:00+02:00;98180;90;4.6;43;97620.0;;;-66.663167,140.001;-17.49999999999997;;;43;
89642;2011-08-03T14:00:00+02:00;98630;130;27.3;72;98090.0;;;-66.663167,140.001;-6.099999999999966;;;43;
89642;2011-07-16T20:00:00+02:00;98730;150;11.8;29;98170.0;;;-66.663167,140.001;-17.099999999999966;;;43;
89642;2011-08-05T20:00:00+02:00;101100;170;8.7;21;100540.0;;;-66.663167,140.001;-8.0;;;43;
89642;2011-07-28T20:00:00+02:00;98010;120;12.3;79;97450.0;;;-66.663167,140.001;-16.19999999999999;;;43;
89642;2011-08-08T11:00:00+02:00;99230;90;1.5;55;98660.0;;;-66.663167,140.001;-17.099999999999966;;;43;
89642;2011-08-08T23:00:00+02:00;99260;0;0.0;51;98690.0;;;-66.663167,140.001;-18.49999999999997;;;43;
89642;2011-06-26T11:00:00+02:00;98890;130;12.3;28;98330.0;;;-66.663167,140.001;-14.199999999999989;;;43;
89642;2011-06-28T23:00:00+02:00;99150;100;5.7;62;98590.0;;;-66.663167,140.001;-16.5;;;43;
89642;2011-06-30T23:00:00+02:00;99550;190;1.5;53;98970.0;;;-66.663167,140.001;-22.19999999999999;;;43;
89642;2011-07-21T11:00:00+02:00;100180;170;29.8;24;99620.0;;;-66.663167,140.001;-9.299999999999955;;;43;
89642;2011-07-22T20:00:00+02:00;102340;220;10.8;23;101780.0;;;-66.663167,140.001;-6.5;;;43;
89642;2011-07-26T17:00:00+02:00;99700;140;2.6;38;99120.0;;;-66.663167,140.001;-21.99999999999997;;;43;
89642;2011-06-24T20:00:00+02:00;100170;200;3.6;26;99600.0;;;-66.663167,140.001;-15.199999999999989;;;43;
89642;2011-08-18T08:00:00+02:00;97470;140;11.8;63;96930.0;;;-66.663167,140.001;-8.399999999999977;;;43;
89642;2011-08-20T11:00:00+02:00;99340;330;2.1;58;98770.0;;;-66.663167,140.001;-19.19999999999999;;;43;
89642;2011-08-24T14:00:00+02:00;97580;170;3.6;60;97000.0;;;-66.663167,140.001;-27.19999999999999;;;43;
89642;2011-08-24T23:00:00+02:00;98230;140;2.1;53;97640.0;;;-66.663167,140.001;-28.19999999999999;;;43;
89642;2011-08-26T11:00:00+02:00;98050;140;14.9;57;97490.0;;;-66.663167,140.001;-18.899999999999977;;;43;
89642;2011-08-30T11:00:00+02:00;99700;180;3.6;42;99120.0;;;-66.663167,140.001;-20.399999999999977;;;43;
89642;2010-03-26T01:00:00+01:00;98850;170;9.8;55;98300.0;;;-66.663167,140.001;-11.699999999999989;;;43;
89642;2010-03-28T14:00:00+02:00;98790;110;5.7;33;98230.0;;;-66.663167,140.001;-16.0;;;43;
89642;2010-03-26T07:00:00+01:00;98670;160;4.1;30;98120.0;;;-66.663167,140.001;-9.199999999999989;;;43;
89642;2011-09-12T02:00:00+02:00;99980;160;17.5;56;99410.0;;;-66.663167,140.001;-17.099999999999966;;;43;
89642;2011-09-06T02:00:00+02:00;99270;140;19.5;84;98720.0;;;-66.663167,140.001;-9.899999999999977;;;43;
89642;2011-02-05T16:00:00+01:00;98230;120;7.7;46;97690.0;;;-66.663167,140.001;-8.199999999999989;;;43;
89642;2011-02-08T19:00:00+01:00;98800;140;8.7;41;98260.0;;;-66.663167,140.001;-6.599999999999966;;;43;
89642;2011-01-11T16:00:00+01:00;100240;320;2.1;78;99700.0;;;-66.663167,140.001;-1.5;;;43;
89642;2010-12-09T22:00:00+01:00;101930;100;12.3;43;101390.0;;;-66.663167,140.001;0.30000000000001137;;;43;
89642;2010-12-10T22:00:00+01:00;99910;170;2.1;38;99380.0;;;-66.663167,140.001;3.6000000000000227;;;43;
89642;2010-12-07T13:00:00+01:00;102170;150;5.1;33;101620.0;;;-66.663167,140.001;-1.7999999999999545;;;43;
89642;2011-02-15T01:00:00+01:00;99080;130;5.7;37;98530.0;;;-66.663167,140.001;-8.399999999999977;;;43;
89642;2011-04-02T11:00:00+02:00;98880;160;12.3;51;98320.0;;;-66.663167,140.001;-15.399999999999977;;;43;
89642;2011-04-13T08:00:00+02:00;100800;200;3.1;27;100240.0;;;-66.663167,140.001;-9.5;;;43;
89642;2011-04-13T11:00:00+02:00;100730;190;10.3;25;100170.0;;;-66.663167,140.001;-10.699999999999989;;;43;
89642;2011-04-15T23:00:00+02:00;99600;130;11.3;34;99050.0;;;-66.663167,140.001;-8.299999999999955;;;43;
89642;2011-04-20T23:00:00+02:00;98260;130;19.0;66;97720.0;;;-66.663167,140.001;-7.2999999999999545;;;43;
89642;2011-04-21T08:00:00+02:00;98140;130;13.4;44;97600.0;;;-66.663167,140.001;-6.399999999999977;;;43;
89642;2011-01-15T22:00:00+01:00;100380;150;18.5;37;99840.0;;;-66.663167,140.001;-1.6999999999999886;;;43;
89642;2011-01-17T04:00:00+01:00;100120;100;4.6;39;99590.0;;;-66.663167,140.001;3.1000000000000227;;;43;
89642;2011-01-18T10:00:00+01:00;101000;100;3.1;64;100460.0;;;-66.663167,140.001;-1.8999999999999773;;;43;
89642;2010-12-23T19:00:00+01:00;98900;90;9.3;83;98370.0;;;-66.663167,140.001;-0.39999999999997726;;;43;
89642;2011-02-07T10:00:00+01:00;99240;180;1.0;63;98710.0;;;-66.663167,140.001;0.4000000000000341;;;43;
89642;2011-03-09T13:00:00+01:00;99630;180;5.7;47;99080.0;;;-66.663167,140.001;-6.699999999999989;;;43;
89642;2011-03-15T22:00:00+01:00;97440;130;10.8;45;96890.0;;;-66.663167,140.001;-11.799999999999955;;;43;
89642;2011-03-20T01:00:00+01:00;99320;110;9.3;36;98770.0;;;-66.663167,140.001;-9.699999999999989;;;43;
89642;2011-03-21T04:00:00+01:00;99070;140;9.3;33;98520.0;;;-66.663167,140.001;-10.799999999999955;;;43;
89642;2011-03-28T14:00:00+02:00;99790;140;24.2;31;99240.0;;;-66.663167,140.001;-8.0;;;43;
89642;2011-02-19T01:00:00+01:00;98100;140;10.3;38;97560.0;;;-66.663167,140.001;-7.699999999999989;;;43;
89642;2011-02-19T07:00:00+01:00;98510;120;5.1;38;97970.0;;;-66.663167,140.001;-4.7999999999999545;;;43;
